id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Golden Hour Drive,Amber Skyline,pop,happy,0.79,120,0.82,0.77,0.20
2,Static Nights,Halfway Home,indie rock,moody,0.68,108,0.45,0.58,0.30
3,Paper Boats,Willow Creek,folk,nostalgic,0.42,84,0.58,0.46,0.72
4,Overdrive,Voltline,rock,intense,0.94,158,0.50,0.68,0.08
5,Quiet Hours,LoRoom,lofi,focused,0.38,76,0.57,0.55,0.80
6,Velvet Skyline,Slow Stereo,jazz,relaxed,0.34,88,0.69,0.50,0.91
7,Afterglow,Neon Echo,synthwave,euphoric,0.83,124,0.80,0.81,0.15
8,Marble Halls,Elena Voss,classical,melancholic,0.22,60,0.20,0.18,0.96
9,Sunday Porch,Callie James,country,hopeful,0.58,98,0.72,0.60,0.58
10,Firelight,Wren & Iron,folk,warm,0.47,90,0.63,0.52,0.66
11,Cascade,Orbit Bloom,ambient,chill,0.26,58,0.62,0.38,0.94
12,Neon Static,DJ Kilowatt,house,euphoric,0.90,130,0.88,0.92,0.06
13,Cold Iron,Grave Circuit,metal,angry,0.96,164,0.28,0.53,0.04
14,Late Bloom,Velvet Hour,r&b,romantic,0.52,80,0.72,0.65,0.42
15,Tidewater,Sunny Roots,reggae,carefree,0.53,94,0.76,0.72,0.48
16,City Lights Fade,Indigo Parade,indie pop,happy,0.74,122,0.79,0.80,0.33
